CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019043,imputated,753,189,RandomForest,{'max_depth': 2},0.0014891624450683596,1,0,-0.6184205644103941,0.16497847617540526,fs,"['NOX', 'PPT']",['CO']
8019043,imputated,753,189,RandomForest,{'max_depth': 5},0.002033233642578125,2,0,-2.1823932842399856,0.2313441492226993,fs,"['NOX', 'PPT']",['CO']
8019043,imputated,753,189,RandomForest,{'max_depth': 10},0.0019736289978027344,3,0,-2.131203732019124,0.2294759934625342,fs,"['NOX', 'PPT']",['CO']
8019043,imputated,753,189,RandomForest,{'max_depth': 20},0.0021309852600097656,4,0,-1.8469475009976384,0.21881209614609504,fs,"['NOX', 'PPT']",['CO']
8019043,imputated,753,189,RandomForest,{'max_depth': 50},0.002285242080688477,5,0,-3.4878579004072625,0.2747268747936982,fs,"['NOX', 'PPT']",['CO']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.011324405670166016,1,0,-0.9447772510634675,0.18084917276116064,fs,"['NOX', 'O3', 'NO2', 'VV10', 'P', 'traffic', 'SO2', 'PPT', 'RS', 'T', 'HR', 'DV10', 'NO']",['CO']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.011307716369628906,2,0,-0.9447757574886988,0.18084910331572449,fs,"['NOX', 'O3', 'NO2', 'VV10', 'P', 'traffic', 'SO2', 'PPT', 'RS', 'T', 'HR', 'DV10', 'NO']",['CO']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.013506412506103516,3,0,-0.9392058280861046,0.18058993743173865,fs,"['NOX', 'O3', 'NO2', 'VV10', 'P', 'traffic', 'SO2', 'PPT', 'RS', 'T', 'HR', 'DV10', 'NO']",['CO']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.01346111297607422,4,0,-0.9446308816708092,0.18084236702516945,fs,"['NOX', 'O3', 'NO2', 'VV10', 'P', 'traffic', 'SO2', 'PPT', 'RS', 'T', 'HR', 'DV10', 'NO']",['CO']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.013126134872436523,5,0,-0.940931168325838,0.18067025635224546,fs,"['NOX', 'O3', 'NO2', 'VV10', 'P', 'traffic', 'SO2', 'PPT', 'RS', 'T', 'HR', 'DV10', 'NO']",['CO']
8019043,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.011359691619873049,6,0,-0.9447755915368125,0.1808490955996035,fs,"['NOX', 'O3', 'NO2', 'VV10', 'P', 'traffic', 'SO2', 'PPT', 'RS', 'T', 'HR', 'DV10', 'NO']",['CO']
