CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019044,imputated,753,189,RandomForest,{'max_depth': 2},0.0016455650329589844,1,0,0.12608067444271753,15.837358282367667,fs,"['NOX', 'DV10']",['NO2']
8019044,imputated,753,189,RandomForest,{'max_depth': 5},0.0022614002227783203,2,0,0.23451922927187507,14.82225263136933,fs,"['NOX', 'DV10']",['NO2']
8019044,imputated,753,189,RandomForest,{'max_depth': 10},0.0022912025451660156,3,0,-0.3024608975047982,19.334343031321716,fs,"['NOX', 'DV10']",['NO2']
8019044,imputated,753,189,RandomForest,{'max_depth': 20},0.002473592758178711,4,0,-0.4610862225428678,20.477880046466982,fs,"['NOX', 'DV10']",['NO2']
8019044,imputated,753,189,RandomForest,{'max_depth': 50},0.0025424957275390625,5,0,-0.5943013093635672,21.39105836602147,fs,"['NOX', 'DV10']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.0179440975189209,1,0,-0.2688653714029843,19.083360053875076,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.01813960075378418,2,0,-0.26886262297151253,19.083339386064676,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.02057647705078125,3,0,-0.268846715574514,19.083219764274986,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.01977992057800293,4,0,-0.268644965506752,19.08170256202186,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.019281387329101562,5,0,-0.2689916633256466,19.084309725111023,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.018100976943969727,6,0,-0.2688615755299706,19.08333150944906,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-08}",0.018021345138549805,7,0,-0.2688313434651426,19.08310416708725,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-07}",0.020385265350341797,8,0,-0.26865645269077554,19.08178895123534,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-06}",0.022243976593017578,9,0,-0.26871226446612595,19.082208675789072,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-05}",0.01957392692565918,10,0,-0.24345897607049882,18.89134165281569,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-09}",0.01816105842590332,11,0,-0.2688577796694005,19.083302965073923,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-08}",0.018304109573364258,12,0,-0.2688000652125957,19.082868954639277,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-07}",0.020424365997314453,13,0,-0.26846635577470934,19.08035927914946,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-06}",0.019660234451293945,14,0,-0.26611186805100484,19.062642867424756,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-05}",0.01900482177734375,15,0,-0.22279540060031344,18.733717616880554,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-09}",0.01789116859436035,16,0,-0.2688539838209212,19.08327442074701,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-08}",0.01888751983642578,17,0,-0.26876878821504446,19.082633748729826,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-07}",0.020329952239990234,18,0,-0.2682764248282534,19.07893074828842,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-06}",0.019617080688476562,19,0,-0.263366282210864,19.04196281104439,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-05}",0.018920183181762695,20,0,-0.1929797567320075,18.503914301022487,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-09}",0.01795816421508789,21,0,-0.26885018798383453,19.083245876463074,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-08}",0.01809382438659668,22,0,-0.268737512470516,19.082398549344287,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-07}",0.020374059677124023,23,0,-0.2680866598483085,19.07750335888526,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-06}",0.019617795944213867,24,0,-0.260521640321016,19.020512937894484,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-05}",0.019541501998901367,25,0,-0.17837375476539785,18.390291011120883,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 51, 'gamma': 1e-09}",0.019700050354003906,26,0,-0.2688463921619586,19.083217332250822,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 51, 'gamma': 1e-08}",0.017882108688354492,27,0,-0.26870623797509974,19.082163356453503,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 51, 'gamma': 1e-07}",0.021024465560913086,28,0,-0.2678970608354134,19.07607711120028,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 51, 'gamma': 1e-06}",0.01971745491027832,29,0,-0.2572354517835693,18.995703453257867,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 51, 'gamma': 1e-05}",0.019278287887573242,30,0,-0.1511588908132988,18.176686088367525,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 61, 'gamma': 1e-09}",0.01840353012084961,31,0,-0.2688425963530523,19.083188788093413,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 61, 'gamma': 1e-08}",0.018072128295898438,32,0,-0.2686749647354676,19.081928170107883,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 61, 'gamma': 1e-07}",0.021216392517089844,33,0,-0.2698160221312895,19.09050746705831,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 61, 'gamma': 1e-06}",0.019622087478637695,34,0,-0.2554776347020533,18.982419285033966,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 61, 'gamma': 1e-05}",0.018542051315307617,35,0,-0.12911378131565576,18.001799692962233,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 71, 'gamma': 1e-09}",0.018077611923217773,36,0,-0.26883880055411224,19.083160243968248,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 71, 'gamma': 1e-08}",0.018174409866333008,37,0,-0.2686436927506488,19.081692990300372,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 71, 'gamma': 1e-07}",0.0205228328704834,38,0,-0.269630483861069,19.089112717987188,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 71, 'gamma': 1e-06}",0.01978302001953125,39,0,-0.2537832255301937,18.96960549727506,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 71, 'gamma': 1e-05}",0.01837158203125,40,0,-0.11967333989209483,17.92638582877791,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 81, 'gamma': 1e-09}",0.018935441970825195,41,0,-0.2688350047774042,19.08313169996757,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 81, 'gamma': 1e-08}",0.018573522567749023,42,0,-0.2686124220139561,19.08145781698092,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
8019044,imputated,753,189,SVM,"{'C': 81, 'gamma': 1e-07}",0.020336627960205078,43,0,-0.26937994621358463,19.087229186649232,fs,"['NOX', 'P', 'VV10', 'HR', 'RS', 'O3', 'PPT', 'traffic', 'CO', 'NO', 'SO2', 'DV10', 'T']",['NO2']
