CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019043,imputated,753,189,RandomForest,{'max_depth': 2},0.0023398399353027344,1,0,0.24467724023057824,50.34994151679543,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,RandomForest,{'max_depth': 5},0.002886772155761719,2,0,-0.194328984403338,63.31325803328296,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,RandomForest,{'max_depth': 10},0.003885030746459961,3,0,0.16776350990606848,52.851346670057815,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,RandomForest,{'max_depth': 20},0.00426030158996582,4,0,-0.77672237226565,77.22225120122269,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,RandomForest,{'max_depth': 50},0.004651069641113281,5,0,-0.4830229519522935,70.55155811932889,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.00963139533996582,1,0,-0.12677248526669227,61.4965562586452,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.009566307067871094,2,0,-0.12676855309854407,61.496448954374884,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.010524511337280272,3,0,-0.12674414483346652,61.49578287716622,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.013832330703735352,4,0,-0.1246761911743679,61.43932426386246,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.012188196182250977,5,0,-0.12236902554347262,61.37627346507257,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.011122465133666992,6,0,-0.1267677396073581,61.49642675512864,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-08}",0.01020526885986328,7,0,-0.12672448672115874,61.495246421662884,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-07}",0.010650873184204102,8,0,-0.12645606912425178,61.48792103329642,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-06}",0.013822317123413086,9,0,-0.12211674751652635,61.36937521925425,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-05}",0.011871099472045898,10,0,-0.09052025530569496,60.499188363189106,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-09}",0.009565114974975586,11,0,-0.12676299397000967,61.49629725193935,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-08}",0.00954437255859375,12,0,-0.12668042211511454,61.49404391377482,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-07}",0.010448932647705078,13,0,-0.1261681284969285,61.480061871295575,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-06}",0.01378941535949707,14,0,-0.11957213400239985,61.29975235298297,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-05}",0.011993408203125,15,0,-0.06352837659531674,59.74577806946008,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-09}",0.009597301483154295,16,0,-0.12675824835203175,61.496167749005906,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-08}",0.009708881378173828,17,0,-0.12663635928202144,61.49284143075602,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-07}",0.010565996170043944,18,0,-0.12588032295129747,61.47220539218691,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-06}",0.014332771301269531,19,0,-0.11719349926571065,61.234599228768026,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-05}",0.011561393737792969,20,0,-0.04259433315219408,59.15485041239804,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-09}",0.009603023529052734,21,0,-0.12675350275691133,61.49603824642354,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-08}",0.009636163711547852,22,0,-0.12659229821950646,61.49163897254324,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-07}",0.010544538497924805,23,0,-0.12559265248562926,61.464351596951964,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-06}",0.013730287551879885,24,0,-0.11448774991979806,61.16040173665305,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
8019043,imputated,753,189,SVM,"{'C': 41, 'gamma': 1e-05}",0.011434078216552734,25,0,-0.02147356089975805,58.552608256020406,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['NOX']
