CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019044,imputated,753,189,RandomForest,{'max_depth': 2},0.003137350082397461,1,0,0.5783876562159329,13.607538688352705,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,RandomForest,{'max_depth': 5},0.0029141902923583984,2,0,0.5792180693482021,13.59413129161541,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,RandomForest,{'max_depth': 10},0.003997087478637695,3,0,0.35676595145266843,16.80766724362159,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,RandomForest,{'max_depth': 20},0.004516839981079102,4,0,0.2619675426418323,18.003654192604273,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,RandomForest,{'max_depth': 50},0.004511594772338867,5,0,0.20577666728675856,18.676446618422318,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.022938966751098636,1,0,-0.02149108240690767,21.18069543157953,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.02139425277709961,2,0,-0.021487563622423652,21.180658950414507,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.022089242935180664,3,0,-0.021444357357583987,21.18021100227189,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.02654504776000977,4,0,-0.02102244464164937,21.17583625392465,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.023319244384765625,5,0,-0.017696103482327308,21.14131423090916,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.02162623405456543,6,0,-0.02148735637190313,21.18065680173341,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-08}",0.02130413055419922,7,0,-0.02144782379315391,21.18024694148617,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-07}",0.0220947265625,8,0,-0.02097268801210972,21.17532027546724,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-06}",0.02678251266479492,9,0,-0.017307176415366055,21.13727411746843,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-05}",0.02318978309631348,10,0,0.020368831174816915,20.742171575200874,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-09}",0.021536588668823242,11,0,-0.021483630355122463,21.180618172005772,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-08}",0.021416425704956055,12,0,-0.021408085449954983,21.17983493995059,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-07}",0.02201366424560547,13,0,-0.020587984768595025,21.17133046146791,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
8019044,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-06}",0.02622699737548828,14,0,-0.013328250949397049,21.095897214448136,pca0,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'VV10']",['O3']
