CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019057,imputated,753,189,RandomForest,{'max_depth': 2},0.0037527084350585938,1,0,0.25550428266505776,11.488028287223,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,RandomForest,{'max_depth': 5},0.003186464309692383,2,0,0.2351456492270151,11.644042123498455,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,RandomForest,{'max_depth': 10},0.003268241882324219,3,0,-0.2799823886791217,15.063170605743982,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,RandomForest,{'max_depth': 20},0.004491329193115234,4,0,-0.002241182237884498,13.329090548545206,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,RandomForest,{'max_depth': 50},0.0036475658416748047,5,0,-0.09628481248522623,13.940427692860894,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.01570296287536621,1,0,-0.02600291161560242,13.486171898090765,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.014914989471435547,2,0,-0.02600216179649384,13.486166970136185,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.015394449234008787,3,0,-0.02599508608281198,13.486120467104158,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.01988053321838379,4,0,-0.02592433262108096,13.485655452118532,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.01748800277709961,5,0,-0.02521872095829392,13.481017062907052,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.01493215560913086,6,0,-0.026002078483137625,13.486166422584764,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-08}",0.01532101631164551,7,0,-0.02599383052112869,13.486112215280018,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-07}",0.015455484390258787,8,0,-0.0259160021383138,13.4856007003948,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-06}",0.01958155632019043,9,0,-0.025138159674838567,13.480487385984327,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-05}",0.016463279724121094,10,0,-0.017267836903354983,13.42864061445526,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-09}",0.014826536178588869,11,0,-0.02600124535258597,13.48616094708911,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-08}",0.014981746673583984,12,0,-0.02598549933350669,13.48605746077821,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-07}",0.015293836593627931,13,0,-0.02583692640313351,13.485080967609205,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-06}",0.02013802528381348,14,0,-0.02435280515003746,13.47532272094172,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 21, 'gamma': 1e-05}",0.016457319259643555,15,0,-0.010449378581675715,13.383560759127027,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-09}",0.014722824096679688,16,0,-0.0260004122223787,13.486155471593502,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-08}",0.01517653465270996,17,0,-0.025977168234722736,13.486002706637965,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-07}",0.015140533447265625,18,0,-0.025757858880087747,13.484561268769806,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-06}",0.01914882659912109,19,0,-0.02359101402588593,13.47031112207426,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
8019057,imputated,753,189,SVM,"{'C': 31, 'gamma': 1e-05}",0.01647353172302246,20,0,-0.0035151005701208327,13.337558898823044,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NO2']
