CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019057,imputated,753,189,RandomForest,{'max_depth': 2},0.002295255661010742,1,0,0.1954971499095598,25.386534284163226,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,RandomForest,{'max_depth': 5},0.002680778503417969,2,0,-1.89368145000086,48.146529104187444,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,RandomForest,{'max_depth': 10},0.003284931182861328,3,0,-0.3680483178106304,33.104752287521826,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,RandomForest,{'max_depth': 20},0.003662109375,4,0,-0.6436480893864769,36.28641341075071,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,RandomForest,{'max_depth': 50},0.00374603271484375,5,0,-0.6349338742553943,36.190094801148476,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.006903648376464844,1,0,-0.014201578329249287,28.50373447983384,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.006782054901123047,2,0,-0.014200907145191843,28.503725048150876,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.0072858333587646484,3,0,-0.014194398584522759,28.50363358771104,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.009951114654541016,4,0,-0.014130604084170216,28.502737110831248,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.008665800094604492,5,0,-0.01246965158049318,28.479386520155963,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.007032155990600586,6,0,-0.01420083256929394,28.50372400018744,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-08}",0.006849288940429688,7,0,-0.014193449594737341,28.50362025216878,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-07}",0.007112026214599609,8,0,-0.014121860238064166,28.502614235093876,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-06}",0.01062154769897461,9,0,-0.012414750222176307,28.47861435966209,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-05}",0.008634567260742188,10,0,-0.006899887843148989,28.40094357446576,pcas,"['HR', 'NOX', 'P', 'RS', 'traffic']",['NOX']
