CODI_EOI,Data,Samples_train,Samples_test,Model,params,Duration,count,iter,R2,RMSE,vars_selection_method,x_columns,y_columns
8019057,imputated,753,189,RandomForest,{'max_depth': 2},0.0032165050506591797,1,0,0.2274716989694454,0.08982250515645111,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,RandomForest,{'max_depth': 5},0.00417327880859375,2,0,-0.16018859002460917,0.11007590200604295,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,RandomForest,{'max_depth': 10},0.006264448165893555,3,0,-0.681122090765883,0.13250357336818494,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,RandomForest,{'max_depth': 20},0.007318258285522461,4,0,-0.7152815307687166,0.13384300079576095,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,RandomForest,{'max_depth': 50},0.0074002742767333984,5,0,-0.5879368800608187,0.12877886060346605,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-09}",0.017251014709472656,1,0,-0.03469922892575883,0.1039525204619909,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-08}",0.017064809799194336,2,0,-0.034696379943343514,0.10395237734837093,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-07}",0.022745370864868164,3,0,-0.03557754201657515,0.10399663158647583,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-06}",0.021654605865478516,4,0,-0.034255385615708844,0.10393022239781367,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 1, 'gamma': 1e-05}",0.02135300636291504,5,0,-0.0311074818678434,0.10377193864105959,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-09}",0.018277406692504883,6,0,-0.03469606339098874,0.10395236144690809,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-08}",0.016956090927124023,7,0,-0.034664725334403235,0.10395078722151829,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-07}",0.022810935974121094,8,0,-0.035123477790218516,0.10397382965933921,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-06}",0.021683216094970703,9,0,-0.030701184337533105,0.10375149148244796,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
8019057,imputated,753,189,SVM,"{'C': 11, 'gamma': 1e-05}",0.021051645278930664,10,0,0.008004471082625142,0.10178477442284503,total,"['CO', 'NO', 'NO2', 'NOX', 'O3', 'SO2', 'DV10', 'HR', 'P', 'PPT', 'RS', 'T', 'VV10', 'traffic']",['CO']
